BOOT_BUTTON,53.87,112.21,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,28.43,37.00,90.00,,EAGLE-LTSPICE_C0402
C10,42.57,111.68,90.00,100nF,EAGLE-LTSPICE_C0402
C1_BAT,119.71,56.92,90.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,64.78,30.22,90.10,,EAGLE-LTSPICE_C0402
C1_BAT2,63.45,30.24,90.00,,EAGLE-LTSPICE_C0402
C2,27.02,37.02,270.00,,EAGLE-LTSPICE_C0402
C25,57.47,111.66,90.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,116.71,59.49,0.00,4.7uF,EAGLE-LTSPICE_C0402
C3,143.14,45.05,0.00,,RCL_CT3528
C4,86.71,36.15,90.70,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,139.90,54.14,90.00,100nF,EAGLE-LTSPICE_C0402
C5,17.79,111.70,90.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,146.66,56.05,90.00,4.7uF,EAGLE-LTSPICE_C0402
C6,3.66,103.97,0.00,100nF,EAGLE-LTSPICE_C0402
C7,0.61,105.45,90.00,10uF,EAGLE-LTSPICE_C0402
C8,78.14,50.82,0.00,100nF,EAGLE-LTSPICE_C0402
C9,85.39,54.57,90.00,CPH3225A,CAPCP3225X100N
CHANGE_BUTTON,38.85,112.22,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,117.14,61.27,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,45.00,106.69,90.00,100nF,EAGLE-LTSPICE_C0402
D1,143.53,53.57,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,28.35,40.31,90.00,PGB1010603MR,DIOC1608X36N
D11,64.98,25.98,0.00,PGB1010603MR,DIOC1608X36N
D12,112.00,50.97,90.00,PGB1010603MR,DIOC1608X36N
D2,126.48,50.79,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,82.42,35.71,0.00,MBR0530,SOD3716X135N
D4,82.42,32.13,0.00,MBR0530,SOD3716X135N
D5,74.37,40.51,0.00,MBR0530,SOD3716X135N
D6,24.56,52.67,90.00,PGB1010603MR,DIOC1608X36N
D7,77.68,67.16,180.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,25.22,40.33,90.00,PGB1010603MR,DIOC1608X36N
D9,26.78,40.33,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,58.66,24.37,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,76.66,25.23,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,75.27,25.24,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,78.16,25.20,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,57.28,24.36,90.40,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,68.20,25.28,90.00,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,69.61,25.24,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,70.93,25.23,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,72.30,25.21,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,73.77,25.26,90.00,1uF/50V,EAGLE-LTSPICE_C0402
IC1,122.18,51.18,0.00,XC6220A331MR-G,SOT95P280X120-5N
IC2,40.73,106.75,0.00,BD5229G-TR,SOT95P280X125-5N
J1,-1.05,93.88,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
J2,155.65,58.80,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,73.92,17.97,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J4,156.85,23.80,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
L1,74.45,34.88,0.00,68uH,IND_4828-WE-TPC_WRE
PFMF.050.1,116.36,51.03,90.00,,ESP32C6_VARISTOR_CT/CN1812
Q1,67.12,30.03,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,54.26,21.88,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
Q3,126.98,57.50,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R1-PINH1,77.55,65.44,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,9.07,46.81,90.00,R1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R14,10.36,111.71,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,113.10,61.28,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,25.51,37.03,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,70.82,29.51,0.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,56.39,15.03,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,23.03,52.59,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,83.23,62.74,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,144.11,50.50,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,144.09,49.23,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R22,138.87,15.02,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,113.36,46.60,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,53.56,16.92,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,57.86,20.36,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,136.15,15.03,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,134.79,15.02,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,-1.63,105.50,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,110.19,51.12,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,137.52,15.04,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,13.83,112.14,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,50.42,111.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,82.75,54.03,89.30,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,34.71,111.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,127.68,61.29,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,53.44,14.64,0.00,,SJ
TP1,69.80,108.20,0.00,TPTP20R,TP20R
TP10,12.42,21.82,0.00,TPTP20R,TP20R
TP11,111.35,9.80,0.00,TPTP20R,TP20R
TP12,117.06,9.62,0.00,TPTP20R,TP20R
TP13,122.98,9.44,0.00,TPTP20R,TP20R
TP14,31.36,77.07,0.00,TPTP20R,TP20R
TP15,36.50,77.15,0.00,TPTP20R,TP20R
TP16,42.38,76.97,0.00,TPTP20R,TP20R
TP17,48.01,76.55,0.00,TPTP20R,TP20R
TP2,74.63,108.23,0.00,TPTP20R,TP20R
TP3,78.66,108.06,0.00,TPTP20R,TP20R
TP4,141.66,68.97,0.00,TPTP20R,TP20R
TP5,141.66,64.45,0.00,TPTP20R,TP20R
TP6,-5.12,22.13,0.00,TPTP20R,TP20R
TP7,-1.04,22.15,0.00,TPTP20R,TP20R
TP8,3.45,21.98,0.00,TPTP20R,TP20R
TP9,7.74,22.00,0.00,TPTP20R,TP20R
U1,121.35,60.31,90.00,,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,5.69,61.71,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,25.10,59.12,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U4,131.39,61.83,180.00,MAX17048G+T10,SON50P200X200X80-9N
U5,74.97,58.57,270.00,DS3231SN#,SOIC127P1032X265-16N
U6,137.45,22.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
